JavaDate, DateTime, M/E Shaft Speed, M/E Cons Fuel Rack Pos., ME Fuel type, DG 1 electr. Power, DG 2 electr. Power, DG 3 electr. Power, ME FOC Noon, DG1 FOC Noon, DG2 FOC Noon, DG3 FOC Noon, Boiler FOC Noon, HFO Total Content, MDO Total Content, Trim PP [m], Ship Speed OG, GPS_Latitude, Lattitude NS, GPS_Longitude, Longitude EW, ME Shaft Speed, DG1.OpHours total, DG2.OpHours total, DG3.OpHours total, Boiler1 OpHours.total
1386615006000, 2013/12/10 01:50:06.000, 0, 19.8583946228027, 1, 0, 58.0374716296266, 61.2481442589501, 0, 0, 220.845655301095, 257.64819868672, 345.873585468504, 135.140102536618, 48.7610679478144, 0.718999981880188, 0, 42.6699694310023, 1, 11951.333984375, 0, 9.23052150126323E+19, 7366.9017963645, 7589.17777826302, 9248.82223548963, 5004.15123524915
1386615606000, 2013/12/10 02:00:06.000, 0, 21.3587181476637, 1, 0, 69.5241422265998, 66.6901774091232, 0, 0, 224.33846295497, 261.11078400085, 350.038506066394, 135.284790039063, 49.0235638707743, 0.718999981880188, 0, 42.6701449987791, 1, 11951.3360277508, 0, 9.23052150126323E+19, 7366.9017963645, 7589.34437549711, 9248.98883272371, 5004.31783248323
1386616206000, 2013/12/10 02:10:06.000, 0, 27.1605627725224, 1, 0, 67.6849994565849, 75.2723275416114, 0, 0, 228.014117942514, 264.734386012107, 354.203186105859, 135.292032679695, 49.0666907174388, 0.718999981880188, 0, 42.6688731167747, 1, 11951.3358518879, 0, 9.23052150126323E+19, 7366.9017963645, 7589.5109630016, 9249.15542022821, 5004.48441998773
1386616806000, 2013/12/10 02:20:06.000, 0, 27.298807144165, 1, 0, 72.743236695917, 81.1643954668277, 0, 0, 231.837176239326, 268.822698462283, 358.372471002959, 135.272139942901, 49.0467525694931, 0.708999991416931, 0, 42.6666891417868, 1, 11951.3351443521, 0, 9.23052150126323E+19, 7366.9017963645, 7589.67773369821, 9249.32219092482, 5004.65119068434
1386617406000, 2013/12/10 02:30:06.000, 0, 27.3104646068623, 1, 0, 84.2773739594551, 91.4608715071248, 0, 0, 235.515340189849, 272.911374242408, 362.537516297251, 135.236297284158, 49.1117131550028, 0.708999991416931, 0, 42.6684721177621, 1, 11951.3359375, 0, 9.23052150126323E+19, 7366.9017963645, 7589.84433592028, 9249.48879314688, 5004.8177929064
1386618006000, 2013/12/10 02:40:06.000, 0, 27.2993549891133, 1, 0, 65.3504838690282, 80.860896325311, 0, 0, 239.0773786647, 276.902548538292, 366.704057868759, 135.008070212093, 49.072440575138, 0.708999991416931, 0, 42.668399810791, 1, 11951.3360251552, 0, 9.23052150126323E+19, 7366.9017963645, 7590.01099788532, 9249.65545511192, 5004.98445487144
1386618606000, 2013/12/10 02:50:06.000, 0, 27.1655400022292, 1, 0, 67.0479202445647, 78.911616550974, 0, 0, 242.720422945122, 280.845472845764, 370.869987405125, 134.845347909563, 49.0061806324337, 0.718674218268171, 0.13517900351594, 42.6659273525445, 1, 11951.3357657275, 0, 9.23052150126323E+19, 7366.9017963645, 7590.17763436677, 9249.82209159337, 5005.15109135289
1386619206000, 2013/12/10 03:00:06.000, 0, 27.335428237915, 1, 0, 70.327227348292, 87.9920187589086, 0, 0, 246.573319804137, 285.017222520686, 375.038615486054, 134.921976153074, 49.1216005647635, 0.819000005722046, 6.28341130439384, 42.7475962697841, 1, 11951.0236998632, 0, 9.23052150126323E+19, 7366.9017963645, 7590.34437990381, 9249.98883713041, 5005.31783688993
1386619806000, 2013/12/10 03:10:06.000, 0, 27.3348528260562, 1, 0, 79.3975000059753, 89.8598709668217, 0, 0, 250.630877456218, 289.259325161648, 375.972229003906, 134.682629133609, 49.0192534453221, 0.708999991416931, 11.0282826616663, 42.4515181025563, 1, 11949.6423677906, 0, 9.23052150126323E+19, 7366.9017963645, 7590.51107317627, 9250.15553040287, 5005.35518112113
1386620406000, 2013/12/10 03:20:06.000, 0, 28.1225221169176, 1, 0, 71.2581172743765, 88.2443480040025, 0, 0, 255.020978782266, 293.668929641612, 375.972229003906, 134.505006676527, 49.0458586877382, 0.548184471774093, 11.9081551390226, 41.2208448625149, 1, 11948.2077592038, 0, 9.23052150126323E+19, 7366.9017963645, 7590.67752783814, 9250.32198506474, 5005.35518112113
